family,split,n,tp,fp,tn,fn,precision,recall,specificity,f1,evaluable
subjective_language,test,14,3,0,6,5,1.0,0.375,1.0,0.5454545454545454,True
ambiguous_adjective_adverb,test,16,0,0,7,9,None,0.0,1.0,None,True
nonverifiable_term,test,14,0,0,7,7,None,0.0,1.0,None,True
vague_pronoun,test,14,5,1,6,2,0.8333333333333334,0.7142857142857143,0.8571428571428571,0.7692307692307692,True
uncertain_verb,test,9,2,0,7,0,1.0,1.0,1.0,1.0,True
polysemy,test,12,0,1,6,5,0.0,0.0,0.8571428571428571,None,True
