family,split,n,tp,fp,tn,fn,precision,recall,specificity,f1,evaluable
subjective_language,test,14,6,0,6,2,1.0,0.75,1.0,0.8571428571428571,True
ambiguous_adjective_adverb,test,16,7,0,7,2,1.0,0.7777777777777778,1.0,0.8750000000000001,True
nonverifiable_term,test,14,6,1,6,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,True
vague_pronoun,test,14,2,0,7,5,1.0,0.2857142857142857,1.0,0.4444444444444445,True
uncertain_verb,test,9,2,0,7,0,1.0,1.0,1.0,1.0,True
polysemy,test,12,4,1,6,1,0.8,0.8,0.8571428571428571,0.8000000000000002,True
